avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,label
33.0,7.35,18.0,1.63,14.67,2.87,cycling
41.25,1.92,16.5,1.5,21.25,3.27,cycling
44.5,1.5,16.0,4.0,17.0,2.0,cycling
37.25,3.63,14.67,2.49,18.0,0.82,cycling
36.67,0.94,9.75,3.83,17.67,2.87,cycling
34.0,2.83,17.0,2.83,18.75,2.49,cycling
34.0,3.67,15.5,2.6,10.75,8.07,cycling
35.25,5.4,8.25,4.15,18.5,2.69,cycling
42.25,0.43,9.0,6.96,19.5,1.12,cycling
39.75,2.49,21.0,0.0,12.0,0.0,cycling
36.75,1.3,18.0,0.71,16.5,1.12,cycling
35.0,2.12,19.25,2.49,11.25,5.21,cycling
26.75,8.87,12.0,2.16,16.33,1.25,cycling
41.25,1.3,14.75,1.79,17.75,0.43,cycling
41.67,1.7,11.75,5.93,16.33,3.68,cycling
34.33,3.09,17.33,2.62,16.0,3.39,cycling
37.0,1.22,21.0,0.0,12.0,1.63,cycling
34.5,3.64,19.75,2.28,15.5,0.5,cycling
36.25,2.49,14.25,4.02,17.75,3.49,cycling
37.5,1.12,12.25,2.28,16.0,1.22,cycling
41.5,0.5,15.0,4.06,18.0,1.22,cycling
39.25,4.21,16.0,2.0,18.0,4.55,cycling
35.5,1.5,9.75,4.26,16.25,7.12,cycling
36.25,3.83,14.5,2.69,15.25,0.43,cycling
32.0,5.05,10.25,2.95,19.5,2.6,cycling
41.25,1.92,11.67,6.94,16.67,2.62,cycling
43.25,0.83,10.67,4.5,18.5,1.8,cycling
35.25,4.44,12.6,1.36,11.8,7.68,cycling
35.25,1.3,16.0,0.82,16.33,3.09,cycling
35.5,4.61,16.25,2.05,15.67,1.7,cycling
27.0,0.0,24.0,0.0,19.0,1.0,bending2
27.0,0.0,24.0,0.0,19.75,0.83,bending2
27.0,0.0,23.5,0.5,20.0,1.22,bending2
27.0,0.0,24.0,0.0,14.75,1.48,bending2
27.0,0.0,23.75,0.43,14.5,1.5,bending2
27.0,0.0,23.33,0.47,17.33,2.05,bending2
27.0,0.0,22.0,0.0,18.75,0.83,bending2
27.0,0.0,21.25,0.43,17.75,1.79,bending2
27.0,0.0,21.0,0.0,19.33,0.94,bending2
27.0,0.0,18.5,0.5,19.25,0.83,bending2
27.0,0.0,15.25,3.9,19.33,1.25,bending2
27.0,0.0,12.75,1.3,18.5,0.87,bending2
27.0,0.0,19.0,2.12,17.67,4.03,bending2
27.0,0.0,21.0,0.0,12.5,1.66,bending2
27.0,0.0,18.33,0.47,13.25,1.3,bending2
27.0,0.0,18.2,0.4,14.0,0.71,bending2
27.0,0.0,20.0,1.41,13.5,1.5,bending2
26.5,0.5,21.75,0.43,15.25,1.48,bending2
27.0,0.0,22.0,0.71,15.75,0.83,bending2
27.0,0.0,22.5,0.5,15.75,0.83,bending2
27.0,0.0,22.5,0.87,15.25,0.43,bending2
27.0,0.0,22.75,0.43,15.0,0.71,bending2
27.0,0.0,21.0,0.0,16.33,1.25,bending2
27.25,0.43,18.0,2.16,17.0,0.82,bending2
27.25,0.43,16.25,1.3,16.25,1.09,bending2
27.33,0.47,10.67,2.36,17.67,0.47,bending2
27.25,0.43,7.5,3.91,16.75,0.83,bending2
27.0,0.0,13.67,2.05,18.25,0.43,bending2
27.0,0.0,17.25,5.76,15.5,2.87,bending2
27.0,0.0,18.25,4.26,14.0,2.35,bending2
27.0,0.0,18.67,0.94,14.25,1.79,bending2
27.0,0.0,16.25,3.03,15.75,1.3,bending2
27.0,0.0,14.75,1.79,13.0,1.22,bending2
27.0,0.0,9.25,3.27,14.0,1.58,bending2
27.25,0.43,12.67,0.94,17.33,1.25,bending2
29.33,0.94,14.75,0.43,17.0,0.82,bending2
30.0,0.0,17.25,0.43,16.5,0.5,bending2
30.0,0.0,17.5,0.5,16.25,0.83,bending2
30.0,0.0,17.0,0.82,16.5,1.12,bending2
30.0,0.0,18.5,0.5,17.5,0.5,bending2
30.0,0.0,18.5,0.87,17.25,0.43,bending2
30.0,0.0,20.0,0.0,15.33,0.47,bending2
30.0,0.0,19.75,0.43,17.5,0.5,bending2
30.0,0.0,18.5,0.5,15.75,0.83,bending2
30.0,0.0,19.25,0.43,16.0,1.41,bending2
30.0,0.0,20.75,0.43,16.5,1.12,bending2
29.75,0.43,21.25,0.43,15.25,0.43,bending2
29.33,0.47,20.67,0.47,15.0,1.22,bending2
29.33,0.47,21.25,0.43,16.0,0.82,bending2
29.75,0.43,20.75,0.83,16.0,0.71,bending2
29.67,0.47,20.5,0.5,15.67,0.94,bending2
30.0,0.0,18.67,0.47,16.0,0.82,bending2
30.0,0.0,18.75,0.43,15.67,0.47,bending2
30.0,0.0,17.0,2.12,16.33,1.25,bending2
30.0,0.0,18.25,0.43,16.5,1.12,bending2
30.0,0.0,19.5,1.12,15.0,0.0,bending2
30.0,0.0,20.75,0.43,15.2,0.98,bending2
30.0,0.0,20.75,0.43,14.25,0.83,bending2
30.0,0.0,20.0,1.22,13.0,1.41,bending2
30.0,0.0,20.33,0.47,14.0,1.22,bending2
30.0,0.0,18.25,1.09,17.75,1.79,bending2
30.0,0.0,17.75,0.43,19.0,0.71,bending2
30.0,0.0,19.25,1.3,15.5,1.8,bending2
30.0,0.0,18.33,0.47,14.67,0.47,bending2
30.0,0.0,20.67,0.47,15.75,0.83,bending2
30.0,0.0,21.0,0.0,15.33,0.47,bending2
30.0,0.0,20.75,0.43,15.0,0.71,bending2
30.0,0.0,20.5,0.5,15.67,0.94,bending2
30.0,0.0,21.0,0.0,14.33,1.7,bending2
30.0,0.0,21.0,0.0,14.0,1.0,bending2
30.0,0.0,21.25,0.43,13.5,1.5,bending2
30.0,0.0,21.5,0.87,13.5,1.66,bending2
29.75,0.43,22.25,0.83,14.75,1.09,bending2
29.75,0.43,21.0,0.0,15.25,0.43,bending2
29.5,0.5,21.0,0.71,15.0,1.22,bending2
29.5,0.5,19.5,0.87,17.5,0.87,bending2
29.25,0.43,21.0,0.0,19.0,1.0,bending2
30.0,0.0,21.0,0.0,18.33,0.47,bending2
30.0,0.0,21.0,0.0,19.67,0.47,bending2
30.0,0.0,21.0,0.0,16.75,1.3,bending2
30.0,0.0,21.0,0.0,14.25,0.83,bending2
30.0,0.0,21.0,0.0,15.75,0.83,bending2
30.0,0.0,21.0,0.0,16.0,1.22,bending2
30.0,0.0,22.0,1.22,20.0,1.22,bending2
30.0,0.0,23.25,0.83,21.25,0.43,bending2
29.5,0.5,21.5,0.5,21.0,0.0,bending2
29.75,0.43,21.75,0.43,21.5,0.5,bending2
29.75,0.43,21.25,0.43,20.75,0.43,bending2
29.25,0.43,20.0,1.41,20.0,0.82,bending2
30.0,0.0,20.33,0.47,18.33,0.47,bending2
30.0,0.0,20.25,0.83,17.75,0.43,bending2
29.25,0.43,21.25,0.43,18.25,0.43,bending2
29.33,0.47,21.0,0.0,19.0,0.82,bending2
28.75,0.43,22.25,0.43,18.5,0.87,bending2
27.67,0.47,24.0,0.0,18.0,0.71,bending2
27.25,0.43,24.0,0.0,18.0,0.0,bending2
27.5,0.5,24.0,0.0,18.0,0.0,bending2
27.75,0.43,23.5,0.5,17.75,0.43,bending2
27.75,0.43,23.25,0.43,17.0,1.0,bending2
