avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,label
36.75,4.44,13.33,2.62,12.5,1.5,walking
33.0,4.95,16.5,4.56,13.75,2.59,walking
31.75,5.07,16.75,2.86,17.5,2.29,walking
36.75,4.92,15.75,2.28,9.5,4.5,walking
34.5,5.02,14.75,1.09,18.5,3.57,walking
26.0,3.24,17.0,3.08,17.75,1.79,walking
40.75,3.7,9.5,4.97,12.0,2.83,walking
36.25,0.43,14.25,3.7,18.67,2.62,walking
35.0,2.92,13.67,3.09,11.0,0.0,walking
33.75,8.26,12.25,1.92,12.25,6.94,walking
31.0,1.41,12.0,5.1,19.0,0.82,walking
26.0,3.67,17.0,3.24,14.25,1.92,walking
41.0,4.06,16.5,3.84,11.67,5.31,walking
37.5,0.5,16.5,4.5,11.25,3.9,walking
37.8,3.06,15.6,3.2,16.25,2.95,walking
42.33,2.49,14.67,0.47,15.0,4.12,walking
33.5,3.84,5.75,2.49,22.0,2.12,walking
25.5,5.5,14.67,9.1,18.75,2.86,walking
33.0,7.18,17.75,4.66,17.25,7.08,walking
36.75,1.3,21.67,3.4,20.33,1.25,walking
38.0,2.16,14.75,2.68,14.0,0.82,walking
39.0,4.24,14.33,2.62,21.0,2.12,walking
33.5,13.05,20.25,1.3,20.0,4.74,walking
21.75,6.02,18.75,3.34,20.5,1.5,walking
31.5,6.1,17.0,4.74,15.25,2.28,walking
38.0,1.22,21.75,2.49,17.5,0.5,walking
34.5,3.35,17.25,3.34,19.5,3.35,walking
36.25,6.38,18.33,1.25,20.0,2.35,walking
33.25,5.67,12.0,4.18,17.5,5.68,walking
21.5,5.5,12.0,3.0,17.75,5.8,walking
33.0,4.74,15.5,2.29,19.75,0.43,walking
34.5,3.2,23.0,1.41,19.0,1.41,walking
36.25,2.17,10.0,4.53,18.0,0.71,walking
41.67,6.18,18.25,5.45,16.67,2.62,walking
32.0,3.74,19.25,3.63,16.33,2.49,walking
24.33,2.87,16.75,4.71,9.0,4.97,walking
38.5,1.66,14.25,4.44,19.0,2.16,walking
36.33,7.32,17.67,4.5,17.5,2.96,walking
37.67,2.36,12.67,3.4,17.75,3.9,walking
35.75,6.83,17.25,1.48,17.0,3.08,walking
29.5,4.5,18.0,5.39,20.0,1.22,walking
27.25,4.92,13.5,7.7,18.0,3.0,walking
43.0,3.81,12.0,0.82,15.33,2.62,walking
37.5,1.66,17.0,4.53,15.75,3.9,walking
37.75,1.79,14.0,5.61,16.0,6.16,walking
36.0,6.48,9.5,3.04,17.67,2.87,walking
31.0,3.81,15.5,1.5,14.75,3.7,walking
22.5,1.5,20.0,1.63,14.5,1.66,walking
36.75,4.49,12.75,2.86,14.0,1.41,walking
35.0,2.74,17.0,3.67,14.75,6.14,walking
35.25,2.49,11.5,0.87,17.25,3.27,walking
39.25,7.29,13.0,4.58,14.75,2.17,walking
26.25,6.61,16.0,2.0,18.5,2.06,walking
31.5,4.5,13.75,4.87,16.0,3.24,walking
37.75,2.49,17.67,2.36,16.0,2.83,walking
35.67,2.05,17.0,8.19,22.0,0.82,walking
37.0,4.06,14.25,6.38,18.5,3.64,walking
41.75,4.44,14.0,2.12,17.25,3.27,walking
23.0,3.74,14.67,2.49,17.5,2.87,walking
27.75,4.92,16.5,1.5,19.33,3.3,walking
40.75,4.26,12.75,1.92,23.5,0.87,walking
26.75,5.63,18.0,2.74,20.75,3.49,walking
35.0,7.81,17.75,5.26,13.5,4.03,walking
35.5,5.94,17.0,2.92,17.75,2.95,walking
30.5,2.18,14.25,4.44,23.75,0.43,walking
38.0,2.45,19.0,4.0,21.5,0.87,walking
35.25,2.49,19.0,3.0,15.25,3.7,walking
32.75,2.17,19.5,5.02,15.33,8.38,walking
41.0,3.24,13.0,6.16,17.67,5.31,walking
30.75,7.5,8.33,5.73,18.0,7.12,walking
26.67,4.03,15.0,3.0,11.25,2.49,walking
38.75,4.6,16.0,2.45,14.75,2.95,walking
38.25,3.9,17.5,2.5,15.5,5.55,walking
32.75,2.17,19.0,4.42,15.0,2.12,walking
45.0,2.45,12.0,5.2,15.0,0.0,walking
31.0,1.41,11.0,7.0,16.25,4.26,walking
25.25,2.95,18.0,1.41,17.75,0.43,walking
39.0,2.45,15.33,5.31,18.25,4.02,walking
36.0,5.2,13.25,6.5,14.75,1.79,walking
29.0,7.45,16.75,2.95,17.5,3.04,walking
37.5,3.84,12.67,4.99,18.5,3.64,walking
27.0,3.67,13.75,4.71,11.25,4.44,walking
30.25,3.96,19.5,1.5,11.25,3.11,walking
41.0,5.0,16.33,5.44,18.0,2.12,walking
33.75,1.3,15.25,1.92,18.5,3.57,walking
34.25,4.32,11.67,3.3,14.33,8.18,walking
39.33,6.65,17.25,5.36,13.6,6.09,walking
24.25,3.49,12.0,6.68,23.33,0.94,walking
32.75,3.27,13.67,4.64,13.33,8.65,walking
38.33,2.05,14.5,5.12,18.67,1.7,walking
31.75,2.17,16.75,3.49,17.25,2.17,walking
39.33,2.05,19.67,1.89,16.25,4.92,walking
33.75,6.83,12.0,1.41,22.0,5.74,walking
26.0,2.45,14.25,4.66,19.0,2.74,walking
34.25,5.45,15.0,2.45,15.5,7.26,walking
34.5,5.55,15.75,6.18,22.25,1.64,walking
31.5,3.2,20.0,2.35,14.5,4.92,walking
42.0,3.08,12.25,1.79,19.5,2.06,walking
35.67,8.01,14.5,1.5,17.25,2.95,walking
29.75,2.17,16.25,3.34,16.0,3.67,walking
32.5,7.43,11.67,1.7,11.0,5.61,walking
33.67,3.3,15.67,3.3,16.75,3.11,walking
34.75,3.7,19.33,3.09,18.0,5.1,walking
34.0,8.09,11.25,3.11,19.0,4.69,walking
32.5,4.92,14.0,1.87,17.0,4.18,walking
30.0,0.0,17.0,3.27,16.67,3.4,walking
31.0,5.25,14.6,5.31,14.25,3.27,walking
36.67,4.03,21.67,1.7,16.25,3.34,walking
